route_id,service_id,trip_id,trip_headsign,direction_id
1A,weekday,trip_1A_weekday_001,,
1A,weekday,trip_1A_weekday_002,,
1A,weekday,trip_1A_weekday_003,,
1A,weekday,trip_1A_weekday_004,,
1A,weekday,trip_1A_weekday_005,,
1A,weekday,trip_1A_weekday_006,,
1A,weekday,trip_1A_weekday_007,,
1A,weekday,trip_1A_weekday_008,,
1A,weekday,trip_1A_weekday_009,,
1A,weekday,trip_1A_weekday_010,,
1A,weekday,trip_1A_weekday_011,,
1A,weekday,trip_1A_weekday_012,,
1A,weekday,trip_1A_weekday_013,,
1A,weekday,trip_1A_weekday_014,,
1A,weekday,trip_1A_weekday_015,,
1A,weekday,trip_1A_weekday_016,,
1A,weekday,trip_1A_weekday_017,,
1A,weekday,trip_1A_weekday_018,,
1A,weekday,trip_1A_weekday_019,,
1A,weekday,trip_1A_weekday_020,,
1A,weekday,trip_1A_weekday_021,,
1A,weekday,trip_1A_weekday_022,,
1A,weekday,trip_1A_weekday_023,,
1A,weekday,trip_1A_weekday_024,,
1A,weekday,trip_1A_weekday_025,,
1A,weekday,trip_1A_weekday_026,,
1A,weekday,trip_1A_weekday_027,,
1A,weekday,trip_1A_weekday_028,,
1A,weekday,trip_1A_weekday_029,,
1A,weekday,trip_1A_weekday_030,,
1A,weekday,trip_1A_weekday_031,,
1A,weekday,trip_1A_weekday_032,,
1A,weekday,trip_1A_weekday_033,,
1A,weekday,trip_1A_weekday_034,,
1A,weekday,trip_1A_weekday_035,,
1A,weekday,trip_1A_weekday_036,,
1A,saturday,trip_1A_saturday_001,,
1A,saturday,trip_1A_saturday_002,,
1A,saturday,trip_1A_saturday_003,,
1A,saturday,trip_1A_saturday_004,,
1A,saturday,trip_1A_saturday_005,,
1A,saturday,trip_1A_saturday_006,,
1A,saturday,trip_1A_saturday_007,,
1A,saturday,trip_1A_saturday_008,,
1A,saturday,trip_1A_saturday_009,,
1A,saturday,trip_1A_saturday_010,,
1A,saturday,trip_1A_saturday_011,,
1A,saturday,trip_1A_saturday_012,,
1A,saturday,trip_1A_saturday_013,,
1A,saturday,trip_1A_saturday_014,,
1A,saturday,trip_1A_saturday_015,,
1A,saturday,trip_1A_saturday_016,,
1A,saturday,trip_1A_saturday_017,,
1A,saturday,trip_1A_saturday_018,,
1A,saturday,trip_1A_saturday_019,,
1A,saturday,trip_1A_saturday_020,,
1A,saturday,trip_1A_saturday_021,,
1A,saturday,trip_1A_saturday_022,,
1A,saturday,trip_1A_saturday_023,,
1A,saturday,trip_1A_saturday_024,,
1A,saturday,trip_1A_saturday_025,,
1A,saturday,trip_1A_saturday_026,,
1A,saturday,trip_1A_saturday_027,,
1A,saturday,trip_1A_saturday_028,,
1A,saturday,trip_1A_saturday_029,,
1A,saturday,trip_1A_saturday_030,,
1A,saturday,trip_1A_saturday_031,,
1A,saturday,trip_1A_saturday_032,,
1A,saturday,trip_1A_saturday_033,,
1A,saturday,trip_1A_saturday_034,,
1A,saturday,trip_1A_saturday_035,,
1A,saturday,trip_1A_saturday_036,,
1A,sunday,trip_1A_sunday_001,,
1A,sunday,trip_1A_sunday_002,,
1A,sunday,trip_1A_sunday_003,,
1A,sunday,trip_1A_sunday_004,,
1A,sunday,trip_1A_sunday_005,,
1A,sunday,trip_1A_sunday_006,,
1A,sunday,trip_1A_sunday_007,,
1A,sunday,trip_1A_sunday_008,,
1A,sunday,trip_1A_sunday_009,,
1A,sunday,trip_1A_sunday_010,,
