trip_id,arrival_time,departure_time,stop_id,stop_sequence
trip_1A_weekday,05:32:00,05:32:00,lechhausen_ostfr,1
trip_1A_weekday,05:34:00,05:34:00,kuka_partnachweg,2
trip_1A_weekday,05:36:00,05:36:00,curtiusstr,3
trip_1A_weekday,05:38:00,05:38:00,kulturstr,4
trip_1A_weekday,05:40:00,05:40:00,schleiermacherstr,5
trip_1A_weekday,06:42:00,06:42:00,lechhausen_schloessle,6
trip_1A_weekday,06:44:00,06:44:00,ulrichsbruecke,7
trip_1A_weekday,06:46:00,06:46:00,berliner_allee,8
trip_1A_weekday,06:48:00,06:48:00,jakobertor,9
trip_1A_weekday,06:50:00,06:50:00,fuggerei,10
trip_1A_weekday,06:52:00,06:52:00,pilgerhausstr,11
trip_1A_weekday,07:54:00,07:54:00,rathausplatz,12
trip_1A_weekday,07:56:00,07:56:00,moritzplatz,13
trip_1A_weekday,07:58:00,07:58:00,koenigsplatz,14
trip_1A_weekday,07:00:00,07:00:00,frohsinnstr,15
trip_1A_weekday,07:02:00,07:02:00,kongress_park,16
trip_1A_weekday,07:04:00,07:04:00,polizeipraesidium,17
trip_1A_weekday,08:06:00,08:06:00,burgfrieden,18
trip_1A_weekday,08:08:00,08:08:00,bergstr,19
trip_1A_weekday,08:10:00,08:10:00,maria_stern,20
trip_1A_weekday,08:12:00,08:12:00,klausenberg,21
trip_1A_weekday,08:14:00,08:14:00,goeggingen_rathaus,22
trip_1A_weekday,08:16:00,08:16:00,hessing_kliniken,23
trip_1A_weekday,09:18:00,09:18:00,goeggingen,24
trip_1A_weekday,06:02:00,06:02:00,lechhausen_ostfr,1
trip_1A_weekday,06:04:00,06:04:00,kuka_partnachweg,2
trip_1A_weekday,06:06:00,06:06:00,curtiusstr,3
trip_1A_weekday,06:08:00,06:08:00,kulturstr,4
trip_1A_weekday,06:10:00,06:10:00,schleiermacherstr,5
trip_1A_weekday,07:12:00,07:12:00,lechhausen_schloessle,6
trip_1A_weekday,07:14:00,07:14:00,ulrichsbruecke,7
trip_1A_weekday,07:16:00,07:16:00,berliner_allee,8
trip_1A_weekday,07:18:00,07:18:00,jakobertor,9
trip_1A_weekday,07:20:00,07:20:00,fuggerei,10
trip_1A_weekday,07:22:00,07:22:00,pilgerhausstr,11
trip_1A_weekday,08:24:00,08:24:00,rathausplatz,12
trip_1A_weekday,08:26:00,08:26:00,moritzplatz,13
trip_1A_weekday,08:28:00,08:28:00,koenigsplatz,14
trip_1A_weekday,08:30:00,08:30:00,frohsinnstr,15
trip_1A_weekday,08:32:00,08:32:00,kongress_park,16
trip_1A_weekday,08:34:00,08:34:00,polizeipraesidium,17
trip_1A_weekday,09:36:00,09:36:00,burgfrieden,18
trip_1A_weekday,09:38:00,09:38:00,bergstr,19
trip_1A_weekday,09:40:00,09:40:00,maria_stern,20
trip_1A_weekday,09:42:00,09:42:00,klausenberg,21
trip_1A_weekday,09:44:00,09:44:00,goeggingen_rathaus,22
trip_1A_weekday,09:46:00,09:46:00,hessing_kliniken,23
trip_1A_weekday,10:48:00,10:48:00,goeggingen,24
trip_1A_weekday,06:32:00,06:32:00,lechhausen_ostfr,1
trip_1A_weekday,06:34:00,06:34:00,kuka_partnachweg,2
trip_1A_weekday,06:36:00,06:36:00,curtiusstr,3
trip_1A_weekday,06:38:00,06:38:00,kulturstr,4
trip_1A_weekday,06:40:00,06:40:00,schleiermacherstr,5
trip_1A_weekday,07:42:00,07:42:00,lechhausen_schloessle,6
trip_1A_weekday,07:44:00,07:44:00,ulrichsbruecke,7
trip_1A_weekday,07:46:00,07:46:00,berliner_allee,8
trip_1A_weekday,07:48:00,07:48:00,jakobertor,9
trip_1A_weekday,07:50:00,07:50:00,fuggerei,10
trip_1A_weekday,07:52:00,07:52:00,pilgerhausstr,11
trip_1A_weekday,08:54:00,08:54:00,rathausplatz,12
trip_1A_weekday,08:56:00,08:56:00,moritzplatz,13
trip_1A_weekday,08:58:00,08:58:00,koenigsplatz,14
trip_1A_weekday,08:00:00,08:00:00,frohsinnstr,15
trip_1A_weekday,08:02:00,08:02:00,kongress_park,16
trip_1A_weekday,08:04:00,08:04:00,polizeipraesidium,17
trip_1A_weekday,09:06:00,09:06:00,burgfrieden,18
