route_id,service_id,trip_id
1A,weekday,trip_1A_weekday
1A,weekday_holiday,trip_1A_holiday
1A,saturday,trip_1A_saturday
1A,sunday,trip_1A_sunday
1B,weekday,trip_1B_weekday
1B,weekday_holiday,trip_1B_holiday
1B,saturday,trip_1B_saturday
1B,sunday,trip_1B_sunday
2A,weekday,trip_2A_weekday
2A,weekday_holiday,trip_2A_holiday
2A,saturday,trip_2A_saturday
2A,sunday,trip_2A_sunday
2B,weekday,trip_2B_weekday
2B,weekday_holiday,trip_2B_holiday
2B,saturday,trip_2B_saturday
2B,sunday,trip_2B_sunday
3A,weekday,trip_3A_weekday
3A,weekday_holiday,trip_3A_holiday
3A,saturday,trip_3A_saturday
3A,sunday,trip_3A_sunday
3B,weekday,trip_3B_weekday
3B,weekday_holiday,trip_3B_holiday
3B,saturday,trip_3B_saturday
3B,sunday,trip_3B_sunday
4A,weekday,trip_4A_weekday
4A,weekday_holiday,trip_4A_holiday
4A,saturday,trip_4A_saturday
4A,sunday,trip_4A_sunday
4B,weekday,trip_4B_weekday
4B,weekday_holiday,trip_4B_holiday
4B,saturday,trip_4B_saturday
4B,sunday,trip_4B_sunday
6A,weekday,trip_6A_weekday
6A,weekday_holiday,trip_6A_holiday
6A,saturday,trip_6A_saturday
6A,sunday,trip_6A_sunday
6B,weekday,trip_6B_weekday
6B,weekday_holiday,trip_6B_holiday
6B,saturday,trip_6B_saturday
6B,sunday,trip_6B_sunday
