stop_id,stop_name,stop_lat,stop_lon
lechhausen_nord_ostfriedhof,Lechhausen Nord Ostfriedhof,,
kuka/partnachweg,KUKA/Partnachweg,,
curtiusstraße,Curtiusstraße,,
kulturstraße,Kulturstraße,,
schleiermacherstraße,Schleiermacherstraße,,
lechhausen_schlößle,Lechhausen Schlößle,,
ulrichsbrücke,Ulrichsbrücke,,
berliner_allee,Berliner Allee,,
jakobertor,Jakobertor,,
fuggerei,Fuggerei,,
pilgerhausstraße,Pilgerhausstraße,,
rathausplatz,Rathausplatz,,
moritzplatz,Moritzplatz,,
königsplatz,Königsplatz,,
frohsinnstraße,Frohsinnstraße,,
kongress_am_park,Kongress am Park,,
polizeipräsidium,Polizeipräsidium,,
burgfrieden,Burgfrieden,,
bergstraße,Bergstraße,,
maria_stern,Maria Stern,,
klausenberg,Klausenberg,,
göggingen_rathaus,Göggingen Rathaus,,
hessing-kliniken,Hessing-Kliniken,,
göggingen,Göggingen,,
augsburg_west_p+r,Augsburg West P+R,,
uniklinik_bkh,Uniklinik BKH,,
stenglinstraße,Stenglinstraße,,
neusässer_straße,Neusässer Straße,,
kriegshaber,Kriegshaber,,
schärtlstraße,Schärtlstraße,,
heimgarten,Heimgarten,,
st._thaddäus,St. Thaddäus,,
oberhausen_bf_/_h-haller-pl,Oberhausen Bf / H-Haller-Pl,,
wertachbrücke,Wertachbrücke,,
senkelbach,Senkelbach,,
fischertor,Fischertor,,
mozarthaus/kolping,Mozarthaus/Kolping,,
dom/stadtwerke,Dom/Stadtwerke,,
rathausplatz,Rathausplatz,,
moritzplatz,Moritzplatz,,
königsplatz,Königsplatz,,
th.-heuss-platz/ihk,Th.-Heuss-Platz/IHK,,
rotes_tor,Rotes Tor,,
haunstetter_straße_bf,Haunstetter Straße Bf,,
schertlinstraße,Schertlinstraße,,
berufsschule,Berufsschule,,
sportanlage_süd_p+r,Sportanlage Süd P+R,,
beim_dürren_ast,Beim Dürren Ast,,
volkssiedlung,Volkssiedlung,,
baugenossenschaft,Baugenossenschaft,,
hötzelstraße,Hötzelstraße,,
haunstetten_nord,Haunstetten Nord,,
hauptbahnhof,Hauptbahnhof,,
königsplatz,Königsplatz,,
th.-heuss-platz/ihk,Th.-Heuss-Platz/IHK,,
rotes_tor,Rotes Tor,,
haunstetter_straße_bf,Haunstetter Straße Bf,,
schertlinstraße,Schertlinstraße,,
von-parseval-straße,Von-Parseval-Straße,,
fachoberschule,Fachoberschule,,
bukowina-institut_/_pci,Bukowina-Institut / PCI,,
universität,Universität,,
